fecha,etiqueta,importe
06/ENE,N17 DISP. T. NEGOCIOS CUENTA: 0118249601 BNET Ref. 35321012,110000.0
06/ENE,E62 TRASPASO ENTRE CUENTAS FOLIO: 0000000 664.25USD Ref. 7773651.1002.01,-12000.0
06/ENE,H09 COBRO AUTOMATICO RECIBO PREST. 9633870980 20260102 Ref. 9633870980,-97944.7
08/ENE,N17 DISP. T. NEGOCIOS CUENTA: 0118249601 BNET Ref. 19430018,15000.0
08/ENE,T17 SPEI ENVIADO BANORTE 0080126PAGO FACTURA Ref. 0030870562 072 00072180004207032482 ΒΝΕΤ01002601080030870562 MARTIN FRANCISCO GUILLEN FERNANDEZ,-11600.0
08/ENE,N06 PAGO CUENTA DE TERCERO BNET 0118291012 COTIZACION SO 3952 Ref. 0058066018,6380.0
08/ENE,G30 RECIBO NO. Ref. P0Q7OB180041,-2884.08
09/ENE,S39 SERV BANCA INTERNET Ref. SERV BCA INTERN,-250.0
09/ENE,S39 SERV BANCA INTERNET Ref. OPS SERV BCA IN,-1621.7
09/ENE,S40 IVA COM SERV BCA INTERNET Ref. IVA COM SERV BC,-299.47
09/ENE,T20 SPEI RECIBIDOSANTANDER 6521452MAYAKAN Ref. 0146030330 014 00014180655103806239 20260109400140BET0000465214520 BANCO MULTIVA SA IBM GFM FIDEICOMISO FID,23200.0
09/ENE,W02 DEPOSITO DE TERCERO 5275 BMRCASH Ref. REFBNTC01092146,9071.2
12/ENE,T17 SPEI ENVIADO BANORTE 1201260PAGO FACTURA Ref. 0031576972 072 00072180010327772470 ΒΝΕΤ01002601120031576972 CLAUDIA IDALIA URIBE DIAZ,-4640.0
12/ENE,N06 PAGO CUENTA DE TERCERO BNET 1508975088 Impuesto Ref. 0085719731,-2820.0
13/ENE,T17 SPEI ENVIADO AZTECA 1301260Laboratorio Ref. 0031854877 127 00127180016049245820 ΒΝΕΤ01002601130031854877 Citlalli Espinosa,-1100.0
13/ENE,T17 SPEI ENVIADO BANORTE 0130126PAGO FACTURA Ref. 0031870380 072 00072180004207032482 ΒΝΕΤ01002601130031870380 MARTIN FRANCISCO GUILLEN FERNANDEZ,-11600.0
13/ENE,N06 PAGO CUENTA DE TERCERO BNET 1554863361 VIATICOS Ref. 0028776010,-2013.01
13/ENE,N06 PAGO CUENTA DE TERCERO BNET 1554863361 VIATICOS Ref. 0028776015,-1997.54
13/ENE,N17 DISP. T. NEGOCIOS CUENTA: 0118249601 BNET Ref. 15621012,30000.0
13/ENE,T17 SPEI ENVIADO BAJIO 0130126PAGO FACTURA Ref. 0031925044 030 00030580900039350793 ΒΝΕΤ01002601130031925044 ES LABS,-34800.0
13/ENE,T17 SPEI ENVIADO BANAMEX 0130126PAGO FACTURA Ref. 0031932829 002 00005204166271974398 ΒΝΕΤ01002601130031932829 OSWALDO JOSUE SANCHEZ FALCON,-5220.0
13/ENE,T20 SPEI RECIBIDOBAJIO 1732673COT SO 3956 Ref. 0168402260 030 00030680900000891204 BB1732673020793 PREVISION Y PROTECCION SC,54056.0
13/ENE,N06 PAGO CUENTA DE TERCERO BNET 1504678598 VIATICOS LEON Ref. 0021812084,-8000.0
14/ENE,N17 DISP. T. NEGOCIOS CUENTA: 0118249601 BNET Ref. 46434011,200000.0
14/ENE,T17 SPEI ENVIADO CITI MEXICO 0140126PAGO FACTURAS Ref. 0032086498 124 00124180002316340452 ΒΝΕΤ01002601140032086498 UNITED PARCEL SERVICE DE MEXICO,-178390.6
14/ENE,N06 PAGO CUENTA DE TERCERO BNET 1508975088 VERIFICACION CAMIO Ref. 0032476300,-600.0
14/ENE,P14 SAT REF:04260BQI840048616419 CIE:0844985 Ref. GUIA:8118957,-990.0
15/ENE,N06 PAGO CUENTA DE TERCERO BNET 1508975088 QUINCENA 1 Ref. 0045624010,-4612.8
15/ENE,N06 PAGO CUENTA DE TERCERO BNET 1508975093 QUINCENA 1 Ref. 0045624016,-4618.4
15/ENE,N06 PAGO CUENTA DE TERCERO BNET 1504678598 QUINCENA 1 Ref. 0045624021,-4358.2
15/ENE,N06 PAGO CUENTA DE TERCERO BNET 1508975100 QUINCENA 1 Ref. 0045624028,-4629.4
15/ENE,N06 PAGO CUENTA DE TERCERO BNET 1546154456 QUINCENA 1 Ref. 0045624034,-4634.8
15/ENE,T17 SPEI ENVIADO Mercado Pago 0150126QUINCENA 1 Ref. 0032350825 722 00722969020372672170 ΒΝΕΤ01002601150032350825 ARIANNA STEPHANIE GUILLEN LEOS,-4714.4
15/ENE,N06 PAGO CUENTA DE TERCERO BNET 1554863361 QUINCENA 1 Ref. 0045624056,-4862.2
15/ENE,N06 PAGO CUENTA DE TERCERO BNET 1564724788 QUINCENA 1 Ref. 0045624062,-9000.0
15/ENE,T17 SPEI ENVIADO BAJIO 0150126PAGO FACTURA Ref. 0032501247 030,-23200.0
15/ENE,N17 DISP. T. NEGOCIOS CUENTA: 0118249601 BNET Ref. 74298012,25000.0
15/ENE,T17 SPEI ENVIADO BAJIO 0150126PAGO FACTURAS Ref. 0032545704 030 00030580900039350793 ΒΝΕΤ01002601150032545704 ES LABS,-29000.0
16/ENE,W02 DEPOSITO DE TERCERO FACT. 5078 BMRCASH Ref. REFBNTC01092146,4640.0
16/ENE,W02 DEPOSITO DE TERCERO FACT. 5058 BMRCASH Ref. REFBNTC01092146,4640.0
16/ENE,N17 DISP. T. NEGOCIOS CUENTA: 0118249601 BNET Ref. 68284012,20000.0
16/ENE,T17 SPEI ENVIADO BAJIO 0160126PAGO FACTURA Ref. 0032918662 030 00030580900039350793 ΒΝΕΤ01002601160032918662 ES LABS,-29000.0
17/ENE,N04 TRASPASO TARJETA A CUENTA CUENTA: 4555133002016814 BNET Ref. 7605626650,50000.0
17/ENE,T17 SPEI ENVIADO Mercado Pago 1701260Pago factura Ref. 0033124884 722 00005428785104163455 ΒΝΕΤ01002601190033124884 CLAUDIA IDALIA URIBE DIAZ,-50000.0
19/ENE,T20 SPEI RECIBIDOSCOTIABANK 0190126TRASPASO ENTRE CUENTAS Ref. 0101554795 044 00044180001059236360 2026011940044B36K0000072946789 ENJOY SAFETY SA DE CV,150000.0
19/ENE,T17 SPEI ENVIADO STP 2001260Gasoline Ref. 0033573571 646,-500.0
19/ENE,T22 SPEI DEVUELTOSTP 2001260Gasoline Ref. 0033573571 646,500.0
21/ENE,T17 SPEI ENVIADO SCOTIABANK 0210126PAGO FACTURA Ref. 0033983030 044 00044180256051824567 ΒΝΕΤ01002601210033983030 MARTIN FRANCISCO GUILLEN FERNANDEZ,-25520.0
22/ENE,N06 PAGO CUENTA DE TERCERO BNET 1554863361 PAGO CHAMARRAS Ref. 0041359014,-3000.0
23/ENE,N06 PAGO CUENTA DE TERCERO BNET 1554863361 GASTOS Ref. 0041359019,-479.8
22/ENE,N06 PAGO CUENTA DE TERCERO BNET 1554863361 GASTOS Ref. 0041359024,-653.0
22/ENE,N06 PAGO CUENTA DE TERCERO BNET 1554863361 PAGO SENSOR ROBERT Ref. 0041359033,-3000.0
26/ENE,T31 DISPERSION 20260126 Ref. DISPERSION,79696.64
27/ENE,T17 SPEI ENVIADO SANTANDER 0270126PAGO ACTA Ref. 0035198708014 00014580605363167876 ΒΝΕΤ01002601270035198708 YOLANDA AGUILAR TRUJEQUE,-8000.0
27/ENE,N06 PAGO CUENTA DE TERCERO BNET 1554863361 VIATICOS MATAMOROS Ref. 0050479034,-7000.0
27/ENE,T20 SPEI RECIBIDOSANTANDER 8627347D411004479 Ref. 0145305663 014 00014180655058929931 20260127400140HDH0000486273470 COMISION FEDERAL DE ELECTRICIDAD,4300.0
29/ENE,N06 PAGO CUENTA DE TERCERO BNET 0123373592 PAQUETE DE TIMBRES Ref. 0067689020,-1856.0
30/ENE,T20 SPEI RECIBIDOSCOTIABANK 0300126TRASPASO ENTRE CUENTAS Ref. 0163049932 044 00044180001059236360 2026013040044B36K0000073206455 ENJOY SAFETY SA DE CV,100000.0
30/ENE,N06 PAGO CUENTA DE TERCERO BNET 1508975088 ΝΟΜΙΝΑ 2 Ref. 0094916022,-4554.6
30/ENE,N06 PAGO CUENTA DE TERCERO BNET 1508975093 ΝΟΜΙΝΑ 2 Ref. 0094916027,-4560.0
30/ENE,N06 PAGO CUENTA DE TERCERO BNET 1504678598 ΝΟΜΙΝΑ 2 Ref. 0094916032,-4582.2
30/ENE,N06 PAGO CUENTA DE TERCERO BNET 1508975100 ΝΟΜΙΝΑ 2 Ref. 0094916037,-4571.0
30/ENE,N06 PAGO CUENTA DE TERCERO BNET 1546154456 ΝΟΜΙΝΑ 2 Ref. 0094916042,-4576.6
30/ENE,T17 SPEI ENVIADO Mercado Pago 0300126ΝΟΜΙNA 2 Ref. 0036387099 722 00722969020372672170 ΒΝΕΤ01002601300036387099 ARIANNA STEPHANIE GUILLEN LEOS,-4576.6
30/ENE,N06 PAGO CUENTA DE TERCERO BNET 1554863361 ΝΟΜΙΝΑ 2 Ref. 0094916062,-4565.6
30/ENE,T17 SPEI ENVIADO BANAMEX 0300126PAGO FACTURA Ref. 0036396713 002 00005204166271974398 ΒΝΕΤ01002601300036396713 OSWALDO JOSUE SANCHEZ FALCON,-4290.0
30/ENE,N06 PAGO CUENTA DE TERCERO BNET 1564724788 ΝΟΜΙΝA 2 Ref. 0030736010,-9000.0
30/ENE,T17 SPEI ENVIADO BAJIO 0300126PAGO FACTURA Ref. 0036514301030 00030580900039350793 ΒΝΕΤ01002601300036514301 ES LABS,-41760.0
30/ENE,T17 SPEI ENVIADO BANREGIO 0300126PRESTAMO Ref. 0036565605058,-60000.0
30/ENE,E57 TRASPASO ENTRE CUENTAS FOLIO: 0000000 5000.00USD Ref. 8140922.1002.01,86768.55
30/ENE,T17 SPEI ENVIADO BANORTE 0300126PAGO FACTURA Ref. 0036577679 072,-29000.0
30/ENE,N02 PAGO TARJETA DE CREDITO CUENTA: 4555133002016814 BNET Ref. 0031031008,-160000.0
