fecha,etiqueta,importe
05/01/26,ISHOP MIXUP SATELITE PMU 940317114 ******0681,-28499.0
05/01/26,COSTCO SATELITE CME 910715UB9 ******0246,-4602.46
05/01/26,HOME DEPOT HDM 001017AS1 ******8072,-481.2
05/01/26,HOME DEPOT HDM 001017AS1 ******2363,-330.0
06/01/26,DISP. T. NEGOCIOS ******3022,-110000.0
08/01/26,DISP. T. NEGOCIOS ******4746,-15000.0
09/01/26,AMERICA CAR RENTAL CES 991203BM1 ******8275,-0.01
12/01/26,AOHSSA AOH 781127904 ******4100,-3475.41
12/01/26,7 ELEVEN PLAZA POLANCO SEM 980701STA ******0519,-158.0
12/01/26,SAST ALVAREZ AAHS720209H40 ******7765,-2000.0
13/01/26,DISP. T. NEGOCIOS ******8488,-30000.0
13/01/26,MERPAGO*LUPITA MAG 2105031W3 ******5394,-400.0
14/01/26,DISP. T. NEGOCIOS ******7765,-200000.0
14/01/26,CESARSPIZZAGPEVICTORIA CPI 130617QB2 ******5383,-268.0
15/01/26,DISP. T. NEGOCIOS ******7180,-25000.0
16/01/26,BBV CAJERO 3916 ******2844,-5000.0
16/01/26,DISP. T. NEGOCIOS ******8207,-20000.0
16/01/26,FERRE COACALCO DIN 971119GG6 ******3724,-21289.67
19/01/26,7605626650DISPOS.EFECTIVO ******3139,-50000.0
19/01/26,BBV CAJERO 4308 ******8875,-6000.0
19/01/26,SAN PABLO COACALCO PPL 961114GZ1 ******0411,-558.0
21/01/26,OXXOBEGONIA MEX CCO 8605231N4 ******2500,-122.0
23/01/26,OXXOBEGONIA MEX CCO 8605231N4 ******2631,-96.0
23/01/26,SERV MED BMG SATELI SMB 9805196L6 ******0544,-1000.0
23/01/26,PETRO7 GAS BODEGAS PET 040903DH1 ******0357,-959.6
23/01/26,OXXO SATELITE CCO 8605231N4 ******0266,-108.0
26/01/26,MERPAGO*LUPITA MAG 2105031W3 ******1807,-650.0
26/01/26,VTA A BORDO VAEROBUS RIM 1411069L4 ******4852,-212.0
26/01/26,OXXO CINTERMEX CCO 8605231N4 ******6949,-180.5
26/01/26,7 ELEVEN LAZARLLOS SEM 980701STA ******9695,-55.0
26/01/26,OXXO CINTERMEX CCO 8605231N4 ******6824,-131.0
26/01/26,BBV CAJERO 4103 ******8269,-3000.0
29/01/26,HOME DEPOT HDM 001017AS1 ******3033,-27.54
29/01/26,HOME DEPOT HDM 001017AS1 ******3546,-147.02
29/01/26,HOME DEPOT HDM 001017AS1 ******5269 (Otros Abonos),21.7
30/01/26,ESPERANZA COACALCO ETN 08021576A ******2397,-55.96
30/01/26,ESPERANZA COACALCO ETN 08021576A ******1613,-79.0
30/01/26,OXXOBEGONIA MEX CCO 8605231N4 ******8183,-129.0
30/01/26,0031031008INTERN.PAGO TDC ******1518,160000.0
02/02/26,Intereses Ordinarios (sin IVA),-5133.54
02/02/26,I.V.A. (sobre intereses),-730.09
