fecha,etiqueta,importe
06/ENE,E57 TRASPASO ENTRE CUENTAS FOLIO: 0000000 12000.00MXP Ref. 7773651.1002.01,664.25
06/ENE,E01 ORDEN DE PAGO EXTRANJERO INTERNET 2188508020000000001080.00USD Ref. 7773784.1002.01,-1080.0
15/ENE,W02 DEPOSITO DE TERCERO TOL PAGO ES5246 BMRCASH Ref. REFBNTC00284335,1954.6
15/ENE,TJ3 SITH2012DTSF048913 NATURGY MEXICO SA DE CV 1395386 Ref. 314085299897970,406.0
21/ENE,E17 ORDEN DE PAGO EXTRANJERO ORDENANTE: 8210105176 Ref. 7971694.0173.01,1325.29
21/ENE,E18 TRANSF RECEPCION INTNAL Ref. 7971694.0173.01,-30.0
21/ENE,E20 IVA TRANSF RECEPCION INT 16% Ref. 7971694.0173.01,-4.8
21/ENE,E17 ORDEN DE PAGO EXTRANJERO ORDENANTE: 8210105190 Ref. 7971721.0173.01,441.76
21/ENE,E18 TRANSF RECEPCION INTNAL Ref. 7971721.0173.01,-30.0
21/ENE,E20 IVA TRANSF RECEPCION INT 16% Ref. 7971721.0173.01,-4.8
21/ENE,E17 ORDEN DE PAGO EXTRANJERO ORDENANTE: 8210105195 Ref. 7971725.0173.01,441.76
21/ENE,E18 TRANSF RECEPCION INTNAL Ref. 7971725.0173.01,-30.0
21/ENE,E20 IVA TRANSF RECEPCION INT 16% Ref. 7971725.0173.01,-4.8
21/ENE,E17 ORDEN DE PAGO EXTRANJERO ORDENANTE: 8210105251 Ref. 7971864.0173.01,441.76
21/ENE,E18 TRANSF RECEPCION INTNAL Ref. 7971864.0173.01,-30.0
21/ENE,E20 IVA TRANSF RECEPCION INT 16% Ref. 7971864.0173.01,-4.8
30/ENE,E62 TRASPASO ENTRE CUENTAS FOLIO: 0000000 86768.55MXP Ref. 8140922.1002.01,-5000.0
